epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.835,2.55649,4.83486,1.53812,0,0,0,0,2.44665,5.49087,1.46368,0.000361917,0.000361917,0.000361917
2,390.199,2.00435,3.55203,1.24773,0.97527,0.13461,0.31409,0.18698,2.02574,4.00029,1.24863,0.000717751,0.000717751,0.000717751
3,521.774,1.73917,2.45983,1.15332,0.83221,0.4229,0.55704,0.31371,1.88591,3.06465,1.2042,0.00105892,0.00105892,0.00105892
4,648.979,1.70995,2.00654,1.14238,0.72929,0.69392,0.79797,0.50256,1.55104,2.03273,1.05645,0.00104501,0.00104501,0.00104501
5,797.174,1.51046,1.64463,1.07075,0.89512,0.8177,0.91032,0.55908,1.48735,1.65091,1.03444,0.00102301,0.00102301,0.00102301
6,1067.35,1.44147,1.48731,1.04788,0.9078,0.88943,0.94725,0.54843,1.49785,1.46964,1.01801,0.00100101,0.00100101,0.00100101
7,1339.08,1.44851,1.35077,1.05913,0.92764,0.9051,0.95741,0.6265,1.24128,1.32723,0.96557,0.000979013,0.000979013,0.000979013
8,1592.22,1.33639,1.19486,1.01028,0.96453,0.92547,0.97357,0.63597,1.24998,1.33589,0.94482,0.000957015,0.000957015,0.000957015
9,1841.85,1.28961,1.11716,0.9893,0.97729,0.9457,0.97552,0.6698,1.2132,1.12221,0.95825,0.000935018,0.000935018,0.000935018
10,2101.29,1.21439,1.07328,0.97229,0.97906,0.94973,0.97777,0.67877,1.22835,1.07983,0.94515,0.00091302,0.00091302,0.00091302
11,2257.11,1.14352,0.95713,0.94498,0.96987,0.97496,0.99094,0.7145,1.05775,0.98082,0.92771,0.000891022,0.000891022,0.000891022
12,2376.03,1.175,0.93184,0.95781,0.98149,0.97072,0.98926,0.71935,1.0488,0.93756,0.90549,0.000869024,0.000869024,0.000869024
13,2475.69,1.08797,0.93365,0.92609,0.99171,0.94626,0.98801,0.7317,1.02179,0.90624,0.90464,0.000847026,0.000847026,0.000847026
14,2567.98,1.07726,0.89662,0.93476,0.97338,0.9728,0.9891,0.74287,0.93898,0.82638,0.88903,0.000825029,0.000825029,0.000825029
15,2660.01,1.12526,0.91692,0.95245,0.9737,0.97983,0.99114,0.75108,0.96756,0.80642,0.90235,0.000803031,0.000803031,0.000803031
16,2755.1,1.09596,0.84556,0.94096,0.99075,0.98277,0.99161,0.71067,1.00542,0.82143,0.90086,0.000781033,0.000781033,0.000781033
17,2846.84,1.0588,0.82713,0.93271,0.99069,0.97916,0.99199,0.72953,1.00588,0.78699,0.91444,0.000759035,0.000759035,0.000759035
18,2937.79,1.03008,0.80375,0.92441,0.98911,0.9846,0.99283,0.78196,0.87825,0.69133,0.8788,0.000737037,0.000737037,0.000737037
19,3031.89,0.97251,0.76591,0.90671,0.98075,0.995,0.99274,0.77926,0.88632,0.67565,0.87694,0.00071504,0.00071504,0.00071504
20,3122.77,0.97372,0.73813,0.91184,0.9784,0.98731,0.99238,0.78475,0.85249,0.67458,0.87639,0.000693042,0.000693042,0.000693042
21,3213.55,0.98368,0.74662,0.90823,0.96438,0.99171,0.99121,0.71142,1.1001,0.72299,0.8957,0.000671044,0.000671044,0.000671044
22,3305.16,0.94086,0.68344,0.89194,0.98129,0.98091,0.99128,0.77868,0.87362,0.67024,0.87843,0.000649046,0.000649046,0.000649046
23,3397.65,0.91469,0.70334,0.89319,0.97615,0.99029,0.99233,0.80277,0.80499,0.6318,0.86534,0.000627048,0.000627048,0.000627048
24,3490.86,0.94571,0.69326,0.89128,0.99282,0.99462,0.99319,0.78871,0.79126,0.62253,0.86552,0.000605051,0.000605051,0.000605051
25,3584.25,0.91649,0.67057,0.89364,0.98212,0.99697,0.99326,0.81342,0.77359,0.63847,0.86199,0.000583053,0.000583053,0.000583053
26,4593.89,0.92496,0.67903,0.89144,0.98817,0.99697,0.99328,0.80747,0.7856,0.60884,0.86218,0.000561055,0.000561055,0.000561055
27,4704.4,0.91864,0.66598,0.88017,0.98754,0.99511,0.99328,0.79339,0.83324,0.60123,0.86902,0.000539057,0.000539057,0.000539057
28,4927.02,0.88349,0.62974,0.89217,0.99445,0.99557,0.99326,0.78679,0.91057,0.59938,0.87896,0.000517059,0.000517059,0.000517059
29,5272.96,0.9343,0.65022,0.89949,0.98755,0.99505,0.9932,0.80213,0.81504,0.58411,0.86765,0.000495062,0.000495062,0.000495062
30,5404.33,0.87999,0.63021,0.88578,0.99535,0.99697,0.99319,0.82327,0.71537,0.53624,0.85317,0.000473064,0.000473064,0.000473064
31,6524.33,0.84849,0.61319,0.87579,0.98409,0.99697,0.99329,0.79051,0.80159,0.5718,0.85841,0.000451066,0.000451066,0.000451066
32,6624.33,0.81049,0.59533,0.8804,0.99359,0.99697,0.99319,0.77046,0.85448,0.56383,0.86288,0.000429068,0.000429068,0.000429068
33,6791.51,0.87559,0.60552,0.87898,0.99084,0.99697,0.99327,0.78283,0.88448,0.58217,0.87204,0.00040707,0.00040707,0.00040707
34,6960.75,0.85224,0.61076,0.87914,0.99188,0.99697,0.99327,0.79534,0.80711,0.54556,0.86451,0.000385073,0.000385073,0.000385073
35,7214.42,0.82198,0.58448,0.86227,0.98998,0.99582,0.99334,0.81444,0.76639,0.54449,0.8569,0.000363075,0.000363075,0.000363075
