epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.368,2.55649,4.83486,1.53812,0,0,0,0,2.44665,5.49087,1.46368,0.000361917,0.000361917,0.000361917
2,195.207,2.00559,3.55833,1.24776,0.98089,0.12943,0.29481,0.18029,2.0015,4.12618,1.24383,0.000708086,0.000708086,0.000708086
3,292.362,1.76007,2.49669,1.16164,0.80012,0.44497,0.56426,0.30045,2.03754,3.11973,1.25155,0.00102981,0.00102981,0.00102981
4,391.449,1.69646,2.00817,1.14131,0.77981,0.7633,0.84117,0.53298,1.54565,1.97382,1.0936,0.00100101,0.00100101,0.00100101
5,483.301,1.48824,1.66215,1.0696,0.8941,0.82048,0.9173,0.56431,1.49167,1.62737,1.03369,0.000964348,0.000964348,0.000964348
6,577.061,1.42444,1.47034,1.04005,0.93951,0.87813,0.9519,0.55356,1.50608,1.37048,1.02075,0.000927685,0.000927685,0.000927685
7,672.389,1.4305,1.36908,1.04995,0.90328,0.92629,0.95984,0.63357,1.28652,1.38377,0.9763,0.000891022,0.000891022,0.000891022
8,761.027,1.34869,1.24326,1.01183,0.99537,0.92312,0.98079,0.66575,1.18649,1.14057,0.94402,0.000854359,0.000854359,0.000854359
9,850.676,1.27185,1.10007,0.98225,0.98642,0.94729,0.97859,0.70509,1.11906,1.07689,0.93776,0.000817696,0.000817696,0.000817696
10,937.936,1.21848,1.08772,0.97716,0.98631,0.9415,0.98672,0.68929,1.12765,1.06007,0.92418,0.000781033,0.000781033,0.000781033
11,1022.96,1.12929,0.97383,0.94606,0.96225,0.96053,0.98619,0.71502,1.04346,1.00496,0.92295,0.00074437,0.00074437,0.00074437
12,1108.35,1.1488,0.9419,0.95147,0.98027,0.98194,0.99102,0.73723,1.00233,0.91033,0.9024,0.000707707,0.000707707,0.000707707
13,1192.53,1.0861,0.91628,0.92632,0.96879,0.98644,0.99063,0.72628,1.02628,0.853,0.91634,0.000671044,0.000671044,0.000671044
14,1276.57,1.06097,0.88112,0.93385,0.96385,0.97445,0.99039,0.73761,0.9458,0.85121,0.88885,0.000634381,0.000634381,0.000634381
15,1362.97,1.08757,0.90647,0.9431,0.95648,0.98644,0.98982,0.7419,1.01301,0.83238,0.89813,0.000597718,0.000597718,0.000597718
16,1448.32,1.0798,0.84963,0.93639,0.97963,0.98406,0.99184,0.76238,0.92151,0.78399,0.88886,0.000561055,0.000561055,0.000561055
17,1624.52,1.04657,0.8178,0.9341,0.97368,0.97941,0.99215,0.7661,0.90425,0.77124,0.8899,0.000524392,0.000524392,0.000524392
18,1756.7,1.01547,0.81713,0.92263,0.98339,0.98962,0.9926,0.76414,0.91173,0.74415,0.89199,0.000487729,0.000487729,0.000487729
19,1869.76,0.98297,0.79629,0.91097,0.97304,0.98447,0.99186,0.7741,0.88595,0.72689,0.87942,0.000451066,0.000451066,0.000451066
20,1982.72,0.96373,0.75494,0.91024,0.97931,0.99424,0.99287,0.76291,0.88853,0.70465,0.87353,0.000414403,0.000414403,0.000414403
21,2092.38,0.90706,0.72004,0.89975,0.98798,0.9947,0.99313,0.79411,0.82943,0.67569,0.86868,0.00037774,0.00037774,0.00037774
22,2200.39,0.87318,0.68087,0.91174,0.98327,0.99268,0.99308,0.77449,0.88028,0.68798,0.87556,0.000341077,0.000341077,0.000341077
23,2307.7,0.83409,0.69549,0.89872,0.98005,0.99697,0.99276,0.75925,0.94116,0.68598,0.88655,0.000304414,0.000304414,0.000304414
24,2415.11,0.82569,0.67359,0.88733,0.97345,0.992,0.99308,0.79727,0.81603,0.66141,0.86423,0.000267751,0.000267751,0.000267751
25,2524.54,0.81464,0.65536,0.89162,0.98716,0.99189,0.99315,0.80333,0.77987,0.62182,0.86,0.000231088,0.000231088,0.000231088
26,2635.63,0.79899,0.64725,0.88517,0.98389,0.98844,0.99319,0.77526,0.86765,0.65679,0.87016,0.000194425,0.000194425,0.000194425
27,2767.62,0.78382,0.61873,0.88892,0.98497,0.99452,0.99318,0.8201,0.7576,0.614,0.8556,0.000157762,0.000157762,0.000157762
28,2889.85,0.77262,0.61566,0.88053,0.98873,0.99646,0.99318,0.7863,0.836,0.6127,0.86291,0.000121099,0.000121099,0.000121099
29,3031.21,0.77969,0.62727,0.87759,0.98796,0.99622,0.99314,0.80765,0.79505,0.60333,0.85879,8.4436e-05,8.4436e-05,8.4436e-05
30,3178.2,0.76392,0.60859,0.87741,0.98635,0.99697,0.99315,0.79537,0.84592,0.61628,0.86405,4.7773e-05,4.7773e-05,4.7773e-05
